,location,total_sqft,bath,price,bhk
437,other,1630.0,3.0,68.29,3
459,other,5000.0,9.0,360.0,11
476,other,1200.0,2.0,62.0,2
477,other,4800.0,4.0,235.0,4
478,other,1200.0,2.0,74.0,2
484,other,1464.0,3.0,56.0,3
486,other,2000.0,4.0,99.0,4
489,other,1753.0,3.0,120.0,3
495,other,1000.0,2.0,53.0,2
500,other,720.0,2.0,45.0,2
502,other,1300.0,3.0,58.0,3
506,other,1115.0,2.0,40.0,2
511,other,700.0,1.0,41.0,1
515,other,1600.0,4.0,80.0,4
520,other,1595.0,3.0,115.0,3
521,other,1353.0,2.0,110.0,2
526,other,1200.0,2.0,85.0,1
531,other,1028.0,2.0,45.5,2
542,other,1325.0,2.0,90.0,3
555,other,1800.0,1.0,80.0,2
560,other,1056.0,2.0,80.0,2
562,other,1080.0,2.0,50.0,2
569,other,1160.0,2.0,55.0,2
574,other,1544.0,3.0,120.0,3
577,other,1200.0,2.0,65.0,2
581,other,540.0,1.0,36.0,1
588,other,1180.0,2.0,42.0,2
592,other,1600.0,2.0,115.0,2
593,other,416.0,1.0,18.5,1
596,other,1260.0,2.0,45.0,2
597,other,1630.0,3.0,85.0,3
602,other,834.0,1.0,60.0,1
603,other,1125.0,4.0,70.0,3
609,other,3000.0,5.0,260.0,4
629,other,1375.0,3.0,70.0,3
633,other,469.0,1.0,25.0,1
638,other,3600.0,4.0,160.0,6
647,other,1160.0,2.0,52.2,2
657,other,1641.0,3.0,66.0,3
668,other,2072.0,3.0,108.0,3
670,other,1200.0,2.0,70.0,3
671,other,1350.0,3.0,77.0,3
673,other,1180.0,2.0,78.34,3
675,other,1355.0,2.0,115.0,2
676,other,600.0,1.0,50.0,1
679,other,1200.0,5.0,100.0,5
683,other,1875.0,3.0,165.0,3
692,other,600.0,2.0,55.0,2
693,other,2300.0,3.0,120.0,3
694,other,1240.0,2.0,60.0,2
695,other,1750.0,3.0,120.0,3
701,other,950.0,2.0,44.0,2
704,other,1092.0,2.0,98.5,3
709,other,1045.0,2.0,45.0,2
715,other,1570.0,3.0,62.0,3
724,other,1325.0,3.0,57.0,3
729,other,1202.0,2.0,48.0,2
731,other,1200.0,2.0,62.5,2
741,other,425.0,1.0,20.03,1
745,other,1100.0,2.0,48.0,2
755,other,1750.0,3.0,85.0,3
762,other,775.0,2.0,55.0,2
774,other,1105.0,2.0,58.0,2
783,other,900.0,7.0,76.0,6
805,other,1602.0,2.0,75.0,3
821,other,1780.0,3.0,84.83,3
845,other,1200.0,3.0,95.0,4
854,other,1976.0,3.0,184.0,3
866,other,900.0,3.0,80.0,5
884,other,1200.0,3.0,95.0,3
885,other,2500.0,6.0,115.0,7
894,other,1180.0,2.0,69.0,2
944,other,1282.0,2.0,87.0,2
949,other,1611.0,2.0,64.44,3
951,other,1500.0,2.0,95.0,3
962,other,1300.0,1.0,115.0,2
970,other,530.0,1.0,20.0,1
972,other,1350.0,2.0,80.0,2
991,other,2400.0,6.0,125.0,8
1011,other,1225.0,2.0,53.0,2
1015,other,1141.0,2.0,62.0,2
1021,other,1175.0,2.0,48.27,2
1028,other,950.0,1.0,40.0,1
1037,other,1209.0,2.0,50.0,2
1038,other,4200.0,5.0,225.0,5
1041,other,1800.0,3.0,90.0,3
1042,other,1600.0,4.0,125.0,5
1062,other,915.0,4.0,54.9,4
1071,other,1405.0,2.0,70.0,2
1077,other,1480.0,3.0,90.0,3
1084,other,1600.0,3.0,90.0,3
1092,other,1500.0,3.0,115.0,3
1098,other,1824.0,3.0,125.0,3
1100,other,750.0,1.0,56.25,1
1104,other,1060.0,2.0,42.0,2
1123,other,1500.0,3.0,62.0,3
1130,other,1339.0,2.0,55.0,2
1135,other,1600.0,3.0,75.0,3
1136,other,1225.0,2.0,55.11,2
1148,other,1000.0,2.0,50.0,2
1153,other,6000.0,5.0,400.0,4
1170,other,2400.0,3.0,170.0,3
1171,other,1480.0,2.0,65.0,2
1175,other,1500.0,2.0,98.0,3
1206,other,1500.0,3.0,100.0,3
1210,other,1133.0,2.0,55.0,2
1211,other,1560.0,5.0,145.0,5
1229,other,856.0,2.0,40.0,2
1234,other,14000.0,3.0,800.0,4
1240,other,1384.0,3.0,62.28,3
1247,other,1508.0,3.0,70.25,3
1260,other,2150.0,4.0,80.0,4
1274,other,1250.0,2.0,62.0,2
1278,other,1050.0,2.0,67.0,2
1291,other,1596.0,3.0,105.0,3
1297,other,1800.0,3.0,80.0,3
1301,other,925.0,2.0,48.0,2
1303,other,1395.0,2.0,63.59,2
1324,other,1200.0,3.0,85.0,3
1337,other,1132.0,2.0,67.0,2
1338,other,1262.0,2.0,63.0,2
1340,other,1515.0,3.0,88.0,3
1344,other,1655.0,3.0,86.06,3
1352,other,5000.0,7.0,299.0,7
1354,other,1380.0,2.0,80.0,2
1355,other,1450.0,3.0,65.0,3
1359,other,1200.0,2.0,54.0,2
1365,other,1178.0,2.0,47.0,2
1382,other,2200.0,3.0,187.0,3
1393,other,3600.0,4.0,300.0,4
1404,other,1595.0,3.0,76.0,3
1412,other,1093.0,2.0,65.0,2
1417,other,1367.0,2.0,62.0,2
1420,other,1535.0,3.0,95.0,3
1432,other,1015.0,2.0,45.0,2
1434,other,1100.0,2.0,62.7,2
1436,other,930.0,2.0,45.0,2
1437,other,1650.0,2.0,80.0,3
1444,other,1240.0,2.0,46.0,3
1454,other,1100.0,2.0,60.0,2
1470,other,1450.0,2.0,85.0,3
1472,other,2000.0,3.0,166.0,4
1483,other,700.0,2.0,27.0,2
1485,other,1050.0,2.0,45.0,2
1489,other,1756.0,3.0,100.0,3
1496,other,1532.0,3.0,92.0,3
1497,other,1650.0,3.0,110.0,3
1502,other,1200.0,2.0,66.0,2
1506,other,1180.0,2.0,48.0,2
1507,other,1525.0,2.0,122.0,3
1509,other,1435.0,3.0,70.0,3
1521,other,1560.0,2.0,66.0,3
1529,other,1070.0,2.0,42.0,2
1534,other,2400.0,3.0,200.0,4
1559,other,1300.0,2.0,60.0,2
1562,other,3040.0,1.0,180.0,2
1572,other,1310.0,2.0,50.0,3
1579,other,1390.0,3.0,120.0,3
1580,other,1200.0,4.0,72.0,4
1583,other,1135.0,2.0,68.0,2
1585,other,900.0,2.0,55.0,2
1591,other,1210.0,2.0,62.0,2
1596,other,1464.0,3.0,56.0,3
1606,other,1600.0,3.0,80.0,3
1636,other,1100.0,2.0,50.0,2
1638,other,1269.72,2.0,68.0,2
1641,other,1168.0,3.0,70.0,3
1646,other,2100.0,4.0,155.0,4
1647,other,1300.0,2.0,65.0,2
1652,other,1515.0,3.0,93.93,3
1657,other,1243.0,2.0,58.0,2
1670,other,1616.0,3.0,75.0,3
1675,other,2700.0,4.0,214.0,6
1692,other,595.0,1.0,42.0,1
1695,other,1410.0,2.0,67.0,2
1700,other,1254.0,2.0,53.0,2
1701,other,2800.0,7.0,125.0,7
1704,other,1170.0,2.0,86.0,2
1715,other,1000.0,2.0,50.0,2
1728,other,920.0,2.0,35.0,2
1733,other,2400.0,3.0,142.0,4
1763,other,1464.0,3.0,56.0,3
1769,other,727.0,6.0,66.0,6
1772,other,2000.0,3.0,85.0,3
1781,other,1670.0,3.0,91.86,3
1796,other,1488.0,3.0,57.0,3
1797,other,1250.0,2.0,80.0,3
1843,other,800.0,2.0,50.0,2
1851,other,1260.0,2.0,58.0,2
1862,other,1250.0,2.0,65.0,2
1864,other,1225.0,2.0,48.0,2
1868,other,1350.0,2.0,80.0,2
1871,other,2000.0,3.0,100.0,3
1874,other,1614.0,3.0,110.0,3
1888,other,1188.0,2.0,73.0,2
1905,other,1480.0,3.0,90.0,3
1911,other,680.0,2.0,42.0,2
1912,other,2400.0,2.0,95.0,2
1913,other,1045.0,2.0,42.0,2
1914,other,955.0,2.0,53.55,2
1918,other,1115.0,2.0,56.87,2
1925,other,2479.13,3.0,215.0,3
1928,other,1690.0,3.0,75.0,3
1932,other,1068.0,2.0,40.05,2
1934,other,1925.0,3.0,120.0,3
1936,other,650.0,1.0,26.0,1
1955,other,900.0,2.0,45.0,2
1960,other,1550.0,2.0,70.0,3
1963,other,916.0,2.0,42.0,2
1965,other,1358.0,3.0,50.0,3
1982,other,1685.0,2.0,110.0,3
1996,other,850.0,2.0,33.0,2
1998,other,1550.0,3.0,110.0,3
2002,other,500.0,1.0,20.0,1
2012,other,1765.0,3.0,105.0,3
2015,other,1265.0,2.0,70.0,2
2017,other,1012.0,2.0,59.0,2
2022,other,2045.0,4.0,154.0,3
2036,other,581.91,2.0,25.0,1
2038,other,1158.0,2.0,85.0,3
2053,other,925.0,2.0,51.0,2
2055,other,1415.0,2.0,110.0,2
2056,other,1210.0,2.0,60.0,2
2071,other,432.0,2.0,40.0,2
2072,other,1100.0,2.0,55.0,2
2084,other,1840.0,3.0,155.0,3
2105,other,824.0,2.0,60.0,2
2114,other,1340.0,2.0,100.0,3
2121,other,1620.0,2.0,110.0,3
2134,other,1533.0,3.0,115.0,3
2141,other,1560.0,3.0,85.0,3
2160,other,1375.0,2.0,85.0,3
2167,other,1095.0,2.0,40.0,2
2168,other,720.0,3.0,65.0,3
2169,other,1440.0,2.0,60.33,3
2172,other,1200.0,2.0,49.5,2
2175,other,975.0,2.0,43.0,2
2187,other,2800.0,4.0,200.0,5
2196,other,900.0,2.0,42.0,2
2200,other,1500.0,3.0,88.0,3
2211,other,1010.0,2.0,46.0,2
2216,other,1140.0,2.0,76.0,2
2221,other,1198.0,2.0,84.0,2
2224,other,1370.0,2.0,75.0,2
2225,other,1316.0,2.0,55.5,2
2227,other,1050.0,2.0,43.0,2
2240,other,2400.0,7.0,110.0,6
2241,other,1000.0,1.0,55.0,2
2245,other,1200.0,2.0,50.0,2
2249,other,1313.0,2.0,58.27,2
2255,other,936.0,2.0,42.0,2
2257,other,1050.0,1.0,70.0,1
2260,other,1200.0,2.0,80.0,3
2263,other,1464.0,3.0,56.0,3
2268,other,1256.0,2.0,60.0,2
2279,other,1020.0,2.0,37.0,2
2283,other,830.0,2.0,34.0,2
2305,other,1520.0,2.0,62.0,2
2328,other,600.0,4.0,40.0,4
2329,other,946.0,2.0,38.0,2
2336,other,860.0,1.0,43.0,2
2347,other,1200.0,2.0,70.0,2
2353,other,1200.0,4.0,100.0,5
2360,other,1700.0,3.0,80.0,3
2364,other,1100.0,2.0,60.0,2
2374,other,1300.0,2.0,79.0,2
2378,other,1311.0,2.0,48.0,2
2381,other,1400.0,2.0,55.0,3
2397,other,1942.0,3.0,102.0,3
2398,other,1000.0,2.0,53.0,2
2418,other,950.0,2.0,45.0,2
2419,other,1022.0,2.0,52.0,2
2425,other,990.0,2.0,44.55,2
2432,other,1533.0,3.0,85.0,3
2450,other,1475.0,3.0,70.0,3
2455,other,1135.0,2.0,55.0,2
2457,other,1440.0,5.0,110.0,5
2475,other,1452.55,2.0,110.0,2
2476,other,2357.0,3.0,151.0,3
2481,other,1170.0,2.0,105.0,2
2487,other,1200.0,4.0,85.0,5
2496,other,1411.0,3.0,91.72,3
2505,other,1200.0,3.0,44.0,2
2514,other,1350.0,2.0,67.5,2
2520,other,1100.0,3.0,78.0,3
2533,other,1175.0,2.0,48.27,2
2543,other,4000.0,4.0,170.0,4
2546,other,1945.0,3.0,120.0,3
2554,other,1465.0,2.0,74.72,3
2565,other,1360.0,2.0,59.27,3
2566,other,1150.0,2.0,75.0,3
2568,other,1200.0,3.0,74.0,3
2572,other,1229.0,3.0,86.03,3
2577,other,1030.0,2.0,61.0,2
2580,other,600.0,1.0,32.0,1
2600,other,1520.0,3.0,80.0,3
2602,other,3000.0,4.0,240.0,4
2603,other,1050.0,2.0,38.0,2
2616,other,1315.0,2.0,90.0,2
2618,other,1210.0,2.0,72.0,2
2620,other,11338.0,9.0,1000.0,6
2623,other,30000.0,4.0,2100.0,4
2628,other,1445.0,3.0,64.0,3
2641,other,1170.0,2.0,68.0,2
2661,other,1600.0,2.0,110.0,2
2664,other,955.0,1.0,34.01,2
2670,other,1370.0,2.0,75.0,3
2676,other,1187.0,2.0,45.0,2
2678,other,600.0,2.0,30.0,3
2709,other,1700.0,3.0,97.0,3
2720,other,1900.0,3.0,160.0,3
2721,other,1360.0,3.0,55.0,3
2722,other,1100.0,2.0,75.0,2
2731,other,1929.0,3.0,115.0,3
2734,other,3161.0,4.0,214.0,4
2741,other,1020.0,2.0,40.0,2
2764,other,1100.0,2.0,70.0,2
2787,other,1455.0,2.0,56.0,3
2797,other,4200.0,4.0,255.0,4
2798,other,1200.0,2.0,55.0,2
2812,other,700.0,1.0,41.0,1
2813,other,1300.0,2.0,49.0,3
2827,other,1400.0,2.0,67.0,2
2828,other,1200.0,2.0,53.0,2
2831,other,1535.0,3.0,55.0,3
2835,other,3000.0,3.0,250.0,3
2839,other,1100.0,2.0,61.0,2
2867,other,1360.0,2.0,65.0,3
2870,other,1165.0,2.0,75.0,2
2876,other,1272.0,4.0,75.0,3
2877,other,965.0,2.0,45.0,2
2878,other,1600.0,5.0,140.0,5
2883,other,1000.0,2.0,65.0,3
2889,other,1121.0,2.0,43.72,2
2908,other,1306.0,2.0,58.0,3
2909,other,2401.0,3.0,185.0,3
2927,other,1600.0,7.0,104.0,7
2928,other,1225.0,2.0,47.0,2
2929,other,1500.0,6.0,80.0,9
2940,other,890.0,1.0,75.0,1
2945,other,1110.0,2.0,51.0,2
2946,other,1300.0,2.0,54.0,2
2956,other,1690.0,3.0,100.0,3
2974,other,799.0,2.0,38.0,2
2978,other,1355.0,3.0,61.0,3
2980,other,1350.0,2.0,90.0,2
2985,other,1460.0,3.0,88.0,3
2991,other,1685.0,3.0,95.0,3
3006,other,800.0,1.0,52.0,1
3010,other,4000.0,5.0,280.0,4
3032,other,1100.0,2.0,53.0,2
3037,other,792.0,2.0,70.0,2
3038,other,2000.0,4.0,103.0,5
3042,other,1147.0,2.0,54.0,2
3050,other,2100.0,3.0,75.0,3
3051,other,1215.0,2.0,46.5,3
3067,other,461.82,1.0,31.7,1
3073,other,1500.0,2.0,85.0,3
3074,other,1065.0,2.0,50.0,2
3086,other,1260.0,2.0,75.0,2
3090,other,1199.0,2.0,50.0,2
3096,other,12000.0,12.0,525.0,10
3126,other,1950.0,3.0,130.0,3
3132,other,1326.0,2.0,62.17,2
3163,other,4051.0,4.0,345.0,4
3188,other,2100.0,3.0,170.0,3
3197,other,1991.0,3.0,160.0,3
3199,other,1234.0,2.0,61.0,2
3213,other,1200.0,3.0,66.0,3
3225,other,1069.0,2.0,55.0,2
3239,other,1375.0,2.0,105.0,2
3242,other,1693.0,3.0,108.0,3
3243,other,1160.0,2.0,41.75,2
3247,other,900.0,2.0,45.0,2
3253,other,1175.0,2.0,48.0,2
3255,other,1200.0,2.0,50.0,2
3261,other,600.0,2.0,23.0,2
3263,other,1364.0,2.0,70.0,2
3265,other,1150.0,2.0,77.5,3
3268,other,1110.0,2.0,41.0,2
3270,other,1156.0,2.0,49.5,2
3272,other,1058.0,2.0,60.0,2
3281,other,1672.0,3.0,150.0,3
3283,other,1500.0,2.0,65.0,3
3284,other,1400.0,2.0,65.0,2
3295,other,1468.0,3.0,130.0,2
3301,other,1166.0,2.0,53.0,2
3304,other,900.0,2.0,46.0,2
3306,other,1190.0,3.0,55.0,3
3319,other,1500.0,3.0,65.0,3
3352,other,1460.0,2.0,73.0,3
3361,other,1080.0,2.0,75.0,3
3375,other,2400.0,2.0,150.0,3
3389,other,1125.0,2.0,75.0,2
3394,other,1596.0,3.0,95.0,3
3398,other,1639.0,3.0,123.0,3
3402,other,920.0,2.0,37.0,2
3412,other,1372.0,2.0,90.0,3
3416,other,885.0,2.0,40.0,2
3426,other,1490.0,2.0,59.6,3
3427,other,1650.0,4.0,99.0,4
3429,other,925.0,2.0,63.0,2
3433,other,1200.0,3.0,95.0,4
3439,other,1200.0,2.0,79.0,2
3445,other,1584.0,3.0,145.0,4
3456,other,1570.0,3.0,115.0,3
3466,other,2400.0,6.0,130.0,6
3467,other,1680.0,3.0,85.0,3
3477,other,1464.0,2.0,56.0,2
3496,other,1200.0,2.0,50.0,2
3497,other,705.0,1.0,36.5,1
3500,other,1340.0,3.0,77.0,3
3501,other,1800.0,3.0,70.0,3
3504,other,925.0,2.0,42.0,2
3505,other,1230.0,2.0,57.0,2
3552,other,1100.0,2.0,39.5,2
3568,other,3259.0,3.0,270.0,3
3588,other,3200.0,3.0,190.0,4
3599,other,970.0,2.0,40.0,2
3608,other,596.0,1.0,42.0,1
3609,other,10000.0,16.0,550.0,16
3610,other,1200.0,4.0,110.0,4
3618,other,1405.0,2.0,70.0,3
3619,other,1800.0,3.0,65.0,3
3620,other,1750.0,3.0,149.0,3
3621,other,1360.0,2.0,65.0,3
3623,other,985.0,2.0,63.0,2
3626,other,1490.0,2.0,88.0,3
3627,other,620.0,1.0,25.0,2
3636,other,4428.0,4.0,255.0,4
3642,other,1301.0,2.0,55.0,2
3643,other,650.0,1.0,30.0,1
3645,other,1500.0,2.0,89.99,3
3656,other,910.0,1.0,42.0,1
3664,other,2000.0,3.0,85.0,3
3681,other,532.0,1.0,22.49,1
3682,other,1060.0,3.0,62.0,3
3684,other,902.0,2.0,42.0,2
3702,other,1374.0,2.0,70.0,3
3705,other,2145.0,4.0,125.0,4
3708,other,1080.0,2.0,55.0,2
3713,other,1000.0,2.0,80.0,2
3715,other,1240.0,2.0,52.6,2
3718,other,1500.0,2.0,97.0,3
3722,other,1865.0,4.0,140.0,3
3724,other,1200.0,2.0,49.0,2
3737,other,3500.0,4.0,245.0,4
3738,other,1203.0,2.0,59.86,2
3740,other,1600.0,3.0,76.0,3
3755,other,1320.0,2.0,73.0,3
3772,other,1100.0,2.0,56.1,2
3790,other,2400.0,5.0,120.0,5
3797,other,675.0,3.0,52.0,2
3804,other,1801.0,3.0,139.0,3
3809,other,1350.0,2.0,65.0,3
3818,other,2400.0,2.0,160.0,2
3828,other,1150.0,2.0,75.0,2
3831,other,1400.0,2.0,62.0,3
3835,other,1488.0,2.0,60.0,3
3841,other,4500.0,9.0,166.0,9
3847,other,1853.0,3.0,82.0,3
3848,other,861.0,2.0,35.0,2
3850,other,1256.0,2.0,62.8,2
3851,other,1390.0,2.0,80.0,3
3852,other,1550.0,2.0,90.0,3
3873,other,1080.0,2.0,39.0,2
3882,other,1500.0,4.0,110.0,4
3884,other,1531.0,3.0,72.0,3
3885,other,1839.0,3.0,165.0,3
3893,other,1200.0,2.0,55.0,2
3903,other,900.0,2.0,70.0,2
3917,other,1200.0,6.0,70.0,4
3944,other,750.0,2.0,50.0,1
3961,other,1605.0,2.0,85.0,3
3971,other,1205.0,2.0,60.0,2
3975,other,1200.0,3.0,46.14,2
3981,other,1125.0,2.0,44.0,2
3982,other,1200.0,2.0,70.0,2
3989,other,1904.0,3.0,155.0,3
3994,other,813.0,1.0,39.0,1
3995,other,3884.0,4.0,240.0,4
4003,other,1630.0,2.0,97.78,3
4007,other,2425.0,4.0,173.0,4
4012,other,1150.0,2.0,56.0,2
4014,other,1141.0,2.0,49.0,2
4020,other,936.0,2.0,43.0,2
4021,other,1280.0,2.0,75.0,2
4028,other,500.0,1.0,24.0,1
4033,other,1100.0,2.0,50.0,2
4037,other,1200.0,2.0,100.0,2
4051,other,1265.0,2.0,82.0,3
4052,other,3200.0,5.0,150.0,4
4053,other,1196.0,2.0,56.81,2
4057,other,1850.0,3.0,98.0,3
4066,other,2360.0,4.0,150.0,4
4067,other,1030.0,2.0,77.25,2
4068,other,1512.0,1.0,65.01,2
4080,other,2000.0,3.0,160.0,3
4083,other,1575.0,3.0,93.0,3
4085,other,1300.0,2.0,70.0,3
4091,other,975.0,2.0,50.0,2
4099,other,1380.0,2.0,75.0,2
4106,other,1000.0,2.0,45.0,2
4117,other,1080.0,2.0,45.0,2
4121,other,3100.0,3.0,250.0,3
4127,other,1190.0,2.0,100.0,2
4128,other,1827.0,3.0,100.0,3
4130,other,1500.0,3.0,95.0,3
4144,other,1180.0,2.0,63.0,2
4149,other,1300.0,3.0,47.0,3
4159,other,1155.0,2.0,60.0,3
4169,other,1540.0,3.0,68.0,3
4171,other,1645.0,3.0,95.0,3
4175,other,1200.0,2.0,55.0,3
4180,other,1097.0,2.0,65.0,2
4202,other,620.0,2.0,22.0,2
4230,other,1355.0,2.0,75.0,2
4236,other,2000.0,3.0,85.0,3
4246,other,1280.0,2.0,49.75,2
4258,other,4200.0,1.0,160.0,2
4267,other,4104.0,4.0,360.0,4
4278,other,1215.0,2.0,49.85,2
4284,other,1076.0,2.0,52.0,2
4291,other,2080.0,2.0,150.0,2
4295,other,1505.0,2.0,90.0,2
4297,other,1200.0,3.0,95.75,3
4298,other,1810.0,4.0,148.0,3
4302,other,1530.0,2.0,97.0,3
4317,other,1500.0,3.0,70.0,3
4318,other,2000.0,5.0,80.0,4
4331,other,2000.0,3.0,85.0,3
4334,other,1500.0,2.0,130.0,3
4335,other,1600.0,3.0,72.0,3
4352,other,1400.0,2.0,80.0,2
4387,other,745.0,2.0,50.0,2
4392,other,1460.0,3.0,70.0,3
4393,other,1355.0,2.0,95.0,2
4394,other,833.0,1.0,49.0,1
4407,other,3000.0,5.0,270.0,4
4411,other,1220.0,2.0,68.0,2
4424,other,1545.0,3.0,85.0,3
4430,other,780.0,2.0,35.0,2
4431,other,1350.0,2.0,110.0,2
4448,other,1200.0,2.0,68.0,3
4468,other,1150.0,2.0,49.0,2
4469,other,2000.0,4.0,180.0,5
4493,other,1096.0,2.0,48.0,2
4495,other,1094.0,2.0,44.0,2
4496,other,1100.0,2.0,49.0,2
4503,other,1280.0,4.0,115.0,4
4517,other,720.0,4.0,62.0,5
4525,other,1200.0,3.0,85.0,3
4527,other,1086.0,2.0,47.5,2
4533,other,1150.0,2.0,74.0,2
4535,other,1440.0,3.0,65.8,3
4536,other,1200.0,2.0,108.0,3
4537,other,1200.0,2.0,75.0,2
4555,other,1225.0,3.0,60.0,3
4560,other,1550.0,2.0,60.0,3
4562,other,1650.0,3.0,75.0,3
4563,other,1113.0,2.0,46.0,2
4571,other,1800.0,2.0,72.0,3
4575,other,1350.0,4.0,85.0,4
4593,other,2500.0,5.0,120.0,5
4610,other,1140.0,2.0,52.0,2
4611,other,1050.0,2.0,40.0,2
4631,other,1758.0,3.0,95.0,3
4643,other,909.0,2.0,40.0,3
4644,other,1200.0,3.0,85.0,2
4658,other,1800.0,3.0,140.0,3
4670,other,1000.0,2.0,48.0,2
4689,other,3900.0,4.0,333.0,4
4690,other,2400.0,4.0,200.0,3
4701,other,1645.0,3.0,87.5,3
4713,other,1252.0,2.0,55.0,2
4716,other,2600.0,3.0,140.0,3
4722,other,950.0,2.0,60.0,2
4724,other,2107.0,4.0,95.0,4
4727,other,1450.0,3.0,68.0,3
4729,other,2431.0,3.0,100.0,3
4744,other,600.0,3.0,54.0,3
4745,other,1155.0,2.0,56.0,2
4765,other,1450.0,2.0,62.63,2
4777,other,1365.0,3.0,60.0,2
4788,other,1402.0,2.0,85.0,3
4814,other,1550.0,3.0,75.0,3
4842,other,5000.0,4.0,290.0,4
4852,other,2000.0,3.0,85.0,3
4858,other,1100.0,2.0,45.0,2
4868,other,814.0,2.0,55.0,2
4873,other,1100.0,2.0,44.0,2
4875,other,830.0,2.0,37.0,2
4877,other,1590.0,3.0,120.0,3
4897,other,1100.0,2.0,48.0,2
4898,other,1230.0,2.0,53.51,3
4905,other,1450.0,2.0,89.6,3
4907,other,1367.0,2.0,62.0,2
4919,other,1340.0,2.0,77.0,2
4931,other,1745.0,3.0,77.0,3
4933,other,1665.0,3.0,105.0,3
4934,other,1220.0,2.0,48.79,2
4937,other,2300.0,4.0,200.0,4
4938,other,1210.0,2.0,76.0,2
4947,other,1100.0,2.0,46.0,2
4959,other,1286.0,3.0,67.0,3
4966,other,1140.0,2.0,45.0,2
4969,other,1065.0,2.0,58.0,2
5000,other,1082.0,2.0,42.0,3
5006,other,1636.0,3.0,97.0,3
5045,other,1120.0,2.0,40.0,2
5049,other,1200.0,3.0,72.0,3
5053,other,1500.0,2.0,65.0,3
5068,other,1100.0,2.0,47.0,2
5069,other,1000.0,1.0,75.0,2
5078,other,1388.0,3.0,69.99,3
5080,other,1176.0,2.0,44.0,2
5088,other,1170.0,2.0,86.0,2
5094,other,4830.0,5.0,390.0,4
5095,other,850.0,2.0,75.0,2
5099,other,1103.0,2.0,55.0,2
5102,other,1600.0,3.0,64.0,3
5105,other,1100.0,2.0,55.0,2
5109,other,2065.0,3.0,130.0,3
5119,other,1250.0,2.0,59.0,2
5120,other,1115.0,2.0,46.0,2
5143,other,3080.0,2.0,285.0,4
5153,other,1130.0,2.0,52.0,2
5169,other,450.0,1.0,25.0,1
5178,other,1100.0,2.0,85.0,2
5187,other,966.0,2.0,49.0,2
5190,other,4400.0,4.0,350.0,5
5197,other,900.0,4.0,75.0,4
5200,other,1550.0,2.0,79.0,3
5203,other,1540.0,2.0,70.0,3
5204,other,1200.0,7.0,100.0,8
5214,other,1070.0,2.0,38.9,2
5238,other,1150.0,2.0,60.0,3
5240,other,1508.0,3.0,75.0,3
